
 EOS                                                                            

              Mstar     = 1.000E+00    Rstar     = 1.177E+06
              Mexo      = 0.000E+00    Rexo      = 0.000E+00
              Mcore     = 9.785E-01    Rcore     = 1.033E+06
              Mincrust  = 2.150E-02    Rincrust  = 8.056E+04
              Moutcrust = 4.984E-05    Routcrust = 6.305E+04

rho_cen=   0.718E+15
  icore= 401   sfn1s0=  0.                 emnco= 5.   rhoexo=   5.000E+24
  idrip= 553   sfn3p2=  0.  fn3p2= 1.00    emncr= 5.     cexo=   1.000E+25
   imax= 769   sfp1s0=  0.  fp1s0= 1.00      emp= 3.     pexo=   6.000E+00

            DUrca not possible
          e-ion bremstrahlung:  1             bubble neutrinos:  0
             plasma neutrinos:  1              neutron 1S0 pbf:  1
               pair neutrinos:  0              neutron 3P2 pbf:  1
              photo neutrinos:  0               proton 1S0 pbf:  1



    Step      Time            Teff       L_phot       L_nu        L_heat 
             [years]      at inf [K]    [erg/sec]   [erg/sec]   [erg/sec]

       1 1.000000000E-12       561412.749     1.310802568E+32 2.912184218E+29  0.00000000    
       2 2.500000000E-12       561412.749     1.310802567E+32 2.912184218E+29  0.00000000    
       3 4.750000000E-12       561412.749     1.310802567E+32 2.912184218E+29  0.00000000    
       4 8.125000000E-12       561412.749     1.310802566E+32 2.912184218E+29  0.00000000    
       5 1.318750000E-11       561412.749     1.310802566E+32 2.912184218E+29  0.00000000    
       6 2.078125000E-11       561412.749     1.310802564E+32 2.912184218E+29  0.00000000    
       7 3.217187500E-11       561412.749     1.310802563E+32 2.912184217E+29  0.00000000    
       8 4.925781250E-11       561412.749     1.310802560E+32 2.912184217E+29  0.00000000    
       9 7.488671875E-11       561412.748     1.310802556E+32 2.912184217E+29  0.00000000    
      10 1.133300781E-10       561412.747     1.310802549E+32 2.912184217E+29  0.00000000    
      11 1.709951172E-10       561412.746     1.310802540E+32 2.912184217E+29  0.00000000    
      12 2.574926758E-10       561412.745     1.310802526E+32 2.912184217E+29  0.00000000    
      13 3.872390137E-10       561412.743     1.310802505E+32 2.912184217E+29  0.00000000    
      14 5.818585205E-10       561412.739     1.310802474E+32 2.912184217E+29  0.00000000    
      15 8.737877808E-10       561412.734     1.310802427E+32 2.912184216E+29  0.00000000    
      16 1.311681671E-09       561412.727     1.310802356E+32 2.912184216E+29  0.00000000    
      17 1.968522507E-09       561412.715     1.310802250E+32 2.912184215E+29  0.00000000    
      18 2.953783760E-09       561412.698     1.310802091E+32 2.912184214E+29  0.00000000    
      19 4.431675640E-09       561412.673     1.310801852E+32 2.912184212E+29  0.00000000    
      20 6.648513460E-09       561412.635     1.310801495E+32 2.912184209E+29  0.00000000    
      21 9.973770190E-09       561412.577     1.310800958E+32 2.912184205E+29  0.00000000    
      22 1.496165529E-08       561412.491     1.310800154E+32 2.912184199E+29  0.00000000    
      23 2.244348293E-08       561412.362     1.310798948E+32 2.912184190E+29  0.00000000    
      24 3.366622439E-08       561412.168     1.310797140E+32 2.912184177E+29  0.00000000    
      25 5.050033659E-08       561411.878     1.310794431E+32 2.912184156E+29  0.00000000    
      26 7.575150488E-08       561411.444     1.310790374E+32 2.912184125E+29  0.00000000    
      27 1.136282573E-07       561410.794     1.310784301E+32 2.912184079E+29  0.00000000    
      28 1.704433860E-07       561409.822     1.310775224E+32 2.912184010E+29  0.00000000    
      29 2.556660790E-07       561408.371     1.310761677E+32 2.912183906E+29  0.00000000    
      30 3.835001185E-07       561406.212     1.310741511E+32 2.912183751E+29  0.00000000    
      31 5.752511777E-07       561403.009     1.310711601E+32 2.912183519E+29  0.00000000    
      32 8.628777665E-07       561398.284     1.310667475E+32 2.912183170E+29  0.00000000    
      33 1.294317650E-06       561391.367     1.310602878E+32 2.912182650E+29  0.00000000    
      34 1.941477475E-06       561381.350     1.310509340E+32 2.912181872E+29  0.00000000    
      35 2.912217212E-06       561367.060     1.310375913E+32 2.912180713E+29  0.00000000    
      36 4.368326818E-06       561347.075     1.310189323E+32 2.912178991E+29  0.00000000    
      37 6.552491227E-06       561319.810     1.309934797E+32 2.912176446E+29  0.00000000    
      38 9.828737841E-06       561283.677     1.309597532E+32 2.912172708E+29  0.00000000    
      39 1.474310776E-05       561237.251     1.309164299E+32 2.912167272E+29  0.00000000    
      40 2.211466264E-05       561179.373     1.308624349E+32 2.912159474E+29  0.00000000    
      41 3.317199496E-05       561109.141     1.307969370E+32 2.912148499E+29  0.00000000    
      42 4.975799344E-05       561025.900     1.307193394E+32 2.912133453E+29  0.00000000    
      43 7.463699117E-05       560929.369     1.306293954E+32 2.912113538E+29  0.00000000    
      44 1.119554877E-04       560819.961     1.305275090E+32 2.912088350E+29  0.00000000    
      45 1.679332326E-04       560699.299     1.304152125E+32 2.912058220E+29  0.00000000    
      46 2.518998499E-04       560570.926     1.302958178E+32 2.912024366E+29  0.00000000    
      47 3.778497759E-04       560441.218     1.301752652E+32 2.911988504E+29  0.00000000    
      48 5.667746649E-04       560320.554     1.300631941E+32 2.911951790E+29  0.00000000    
      49 8.501619983E-04       560224.724     1.299742392E+32 2.911913508E+29  0.00000000    
      50 1.275242998E-03       560176.515     1.299295068E+32 2.911870301E+29  0.00000000    
      51 1.912864499E-03       560207.347     1.299581136E+32 2.911816329E+29  0.00000000    
      52 2.869296749E-03       560358.782     1.300986921E+32 2.911743822E+29  0.00000000    
      53 4.303945124E-03       560684.106     1.304010773E+32 2.911643096E+29  0.00000000    
      54 6.455917688E-03       561250.447     1.309287430E+32 2.911501637E+29  0.00000000    
      55 9.038284764E-03       561963.135     1.315950354E+32 2.911340747E+29  0.00000000    
      56 1.213712525E-02       562820.660     1.324001029E+32 2.911156491E+29  0.00000000    
      57 1.585573384E-02       563828.657     1.333511552E+32 2.910944558E+29  0.00000000    
      58 2.031806415E-02       564998.109     1.344609501E+32 2.910700125E+29  0.00000000    
      59 2.567286052E-02       566345.093     1.357477901E+32 2.910417764E+29  0.00000000    
      60 3.209861616E-02       567891.593     1.372366022E+32 2.910091372E+29  0.00000000    
      61 3.980952293E-02       569667.201     1.389610420E+32 2.909714121E+29  0.00000000    
      62 4.906261106E-02       571711.749     1.409667438E+32 2.909278434E+29  0.00000000    
      63 6.016631681E-02       574078.742     1.433157961E+32 2.908776020E+29  0.00000000    
      64 7.349076371E-02       576838.995     1.460920708E+32 2.908197948E+29  0.00000000    
      65 8.948009999E-02       580082.736     1.494059737E+32 2.907534823E+29  0.00000000    
      66 0.108667304           583917.246     1.533957793E+32 2.906777042E+29  0.00000000    
      67 0.131691948           588456.789     1.582218689E+32 2.905915173E+29  0.00000000    
      68 0.159321521           593803.450     1.640510695E+32 2.904940448E+29  0.00000000    
      69 0.192477009           600021.452     1.710311870E+32 2.903845367E+29  0.00000000    
      70 0.232263594           607111.690     1.792596654E+32 2.902624367E+29  0.00000000    
      71 0.280007496           614994.958     1.887532429E+32 2.901274469E+29  0.00000000    
      72 0.337300179           623510.200     1.994263085E+32 2.899795796E+29  0.00000000    
      73 0.406051398           632429.240     2.110843144E+32 2.898191818E+29  0.00000000    
      74 0.488552861           641484.432     2.234357616E+32 2.896469254E+29  0.00000000    
      75 0.587554617           650402.772     2.361226962E+32 2.894637662E+29  0.00000000    
      76 0.706356724           658939.634     2.487658272E+32 2.892708908E+29  0.00000000    
      77 0.848919253           666906.552     2.610166053E+32 2.890696858E+29  0.00000000    
      78  1.01999429           674188.821     2.726053579E+32 2.888617607E+29  0.00000000    
      79  1.22528433           680749.844     2.833729557E+32 2.886490425E+29  0.00000000    
      80  1.47163238           686620.665     2.932754289E+32 2.884339252E+29  0.00000000    
      81  1.76725004           691876.045     3.023579391E+32 2.882194263E+29  0.00000000    
      82  2.12199123           696602.684     3.107053791E+32 2.880092691E+29  0.00000000    
      83  2.54768065           700868.848     3.183869276E+32 2.878078105E+29  0.00000000    
      84  3.05850797           704705.170     3.254153465E+32 2.876197503E+29  0.00000000    
      85  3.67150075           708102.484     3.317360514E+32 2.874496194E+29  0.00000000    
      86  4.40709208           711026.017     3.372486101E+32 2.873011147E+29  0.00000000    
      87  5.28980168           713439.167     3.418503202E+32 2.871764251E+29  0.00000000    
      88  6.34905320           715327.248     3.454834699E+32 2.870757343E+29  0.00000000    
      89  7.62015502           716712.579     3.481675627E+32 2.869970713E+29  0.00000000    
      90  9.14547721           717656.234     3.500048370E+32 2.869365942E+29  0.00000000    
      91  10.9758638           718247.074     3.511588845E+32 2.868892549E+29  0.00000000    
      92  13.1723278           718583.436     3.518171518E+32 2.868496447E+29  0.00000000    
      93  15.8080845           718755.052     3.521533641E+32 2.868127496E+29  0.00000000    
      94  18.9709926           718831.385     3.523029834E+32 2.867743943E+29  0.00000000    
      95  22.7664823           718858.538     3.523562182E+32 2.867313071E+29  0.00000000    
      96  27.3210700           718862.807     3.523645884E+32 2.866808974E+29  0.00000000    
      97  32.7865751           718857.013     3.523532276E+32 2.866209133E+29  0.00000000    
      98  39.3451814           718846.389     3.523323987E+32 2.865491159E+29  0.00000000    
      99  47.2155088           718832.571     3.523053084E+32 2.864630317E+29  0.00000000    
     100  56.6599018           718815.720     3.522722757E+32 2.863597779E+29  0.00000000    
     101  67.9931733           718795.442     3.522325270E+32 2.862359262E+29  0.00000000    
     102  81.5930991           718771.099     3.521848136E+32 2.860873771E+29  0.00000000    
     103  97.9130101           718741.887     3.521275629E+32 2.859092224E+29  0.00000000    
     104  117.496903           718706.833     3.520588743E+32 2.856955867E+29  0.00000000    
     105  140.997575           718664.772     3.519764659E+32 2.854394395E+29  0.00000000    
     106  169.198381           718614.301     3.518776019E+32 2.851323732E+29  0.00000000    
     107  203.039349           718553.742     3.517590026E+32 2.847643401E+29  0.00000000    
     108  243.648510           718481.078     3.516167375E+32 2.843233421E+29  0.00000000    
     109  292.379503           718393.892     3.514460969E+32 2.837950674E+29  0.00000000    
     110  350.856695           718289.284     3.512414401E+32 2.831624639E+29  0.00000000    
     111  421.029325           718163.777     3.509960129E+32 2.824052450E+29  0.00000000    
     112  505.236481           718013.199     3.507017317E+32 2.814993181E+29  0.00000000    
     113  606.285069           717832.551     3.503489275E+32 2.804161321E+29  0.00000000    
     114  727.543373           717615.840     3.499260417E+32 2.791219398E+29  0.00000000    
     115  873.053339           717355.880     3.494192682E+32 2.775769781E+29  0.00000000    
     116  1047.66530           717044.065     3.488121313E+32 2.757345756E+29  0.00000000    
     117  1257.19965           716670.082     3.480849921E+32 2.735402105E+29  0.00000000    
     118  1508.64087           716221.584     3.472144728E+32 2.709305587E+29  0.00000000    
     119  1810.37034           715683.793     3.461727915E+32 2.678325990E+29  0.00000000    
     120  2172.44569           715039.028     3.449269977E+32 2.641628801E+29  0.00000000    
     121  2606.93612           714266.152     3.434381057E+32 2.598271018E+29  0.00000000    
     122  3128.32464           713339.913     3.416601257E+32 2.547202299E+29  0.00000000    
     123  3753.99086           712230.170     3.395390003E+32 2.487274467E+29  0.00000000    
     124  4169.36289           711493.894     3.381371656E+32 2.448257889E+29  0.00000000    
     125  4446.27758           711003.252     3.372054210E+32 2.422582279E+29  0.00000000    
     126  4630.88737           710676.251     3.365855052E+32 2.405612694E+29  0.00000000    
     127  4753.96056           710458.291     3.361727816E+32 2.394364720E+29  0.00000000    
     128  4836.00936           710313.004     3.358978784E+32 2.386894858E+29  0.00000000    
     129  4890.70855           710216.153     3.357147187E+32 2.381927703E+29  0.00000000    
     130  4927.17469           710151.590     3.355926608E+32 2.378621923E+29  0.00000000    
     131  4951.48544           710108.550     3.355113104E+32 2.376420580E+29  0.00000000    
     132  4967.69261           710079.857     3.354570864E+32 2.374954132E+29  0.00000000    
     133  4978.49739           710060.728     3.354209413E+32 2.373976996E+29  0.00000000    
     134  4985.70058           710047.976     3.353968465E+32 2.373325791E+29  0.00000000    
     135  4990.50270           710039.475     3.353807841E+32 2.372891753E+29  0.00000000    
     136  4993.70412           710033.807     3.353700762E+32 2.372602437E+29  0.00000000    
     137  4995.83839           710030.029     3.353629378E+32 2.372409579E+29  0.00000000    
     138  4997.26125           710027.510     3.353581789E+32 2.372281016E+29  0.00000000    
     139  4998.20981           710025.831     3.353550064E+32 2.372195311E+29  0.00000000    
     140  4998.84219           710024.711     3.353528914E+32 2.372138176E+29  0.00000000    
     141  4999.26378           710023.965     3.353514814E+32 2.372100087E+29  0.00000000    
     142  4999.54484           710023.467     3.353505414E+32 2.372074694E+29  0.00000000    
     143  4999.73221           710023.136     3.353499147E+32 2.372057766E+29  0.00000000    
     144  4999.85712           710022.915     3.353494969E+32 2.372046481E+29  0.00000000    
     145  4999.94040           710022.767     3.353492184E+32 2.372038957E+29  0.00000000    
     146  4999.99591           710022.669     3.353490327E+32 2.372033941E+29  0.00000000    
     147  5000.03293           710022.603     3.353489089E+32 2.372030598E+29  0.00000000    
     148  5000.05760           710022.560     3.353488264E+32 2.372028368E+29  0.00000000    
     149  5000.07405           710022.531     3.353487714E+32 2.372026882E+29  0.00000000    
     150  5000.08502           710022.511     3.353487347E+32 2.372025892E+29  0.00000000    
     151  5000.09233           710022.498     3.353487103E+32 2.372025231E+29  0.00000000    
     152  5000.09720           710022.490     3.353486940E+32 2.372024791E+29  0.00000000    
     153  5000.10045           710022.484     3.353486831E+32 2.372024497E+29  0.00000000    
     154  5000.10262           710022.480     3.353486759E+32 2.372024301E+29  0.00000000    
     155  5000.10406           710022.477     3.353486710E+32 2.372024171E+29  0.00000000    
     156  5000.10502           710022.476     3.353486678E+32 2.372024084E+29  0.00000000    
     157  5000.10567           710022.475     3.353486657E+32 2.372024026E+29  0.00000000    
     158  5000.10609           710022.474     3.353486642E+32 2.372023987E+29  0.00000000    
